event_title,volume_usd,month
Others,11.792415,2020-09-01 00:00:00.000 UTC
Will Trump win the 2020 U.S. presidential election?,4.0028889040159984e+06,2020-10-01 00:00:00.000 UTC
Who will win the 2020 MLB World Series?,215203.17284599994,2020-10-01 00:00:00.000 UTC
Others,203729.31775699992,2020-10-01 00:00:00.000 UTC
Which party will win Florida in the 2020 presidential election?,175583.00068800003,2020-10-01 00:00:00.000 UTC
"What will the USD price of Filecoin ($FIL) be on November 17th, 2020?",110962.64935,2020-10-01 00:00:00.000 UTC
Which party will win Texas in the 2020 presidential election?,94465.573102,2020-10-01 00:00:00.000 UTC
"What will the price of Bitcoin be on November 4th, 2020?",83512.62354999999,2020-10-01 00:00:00.000 UTC
"Will Coinbase begin publicly trading before Jan 1, 2021?",82876.25870199999,2020-10-01 00:00:00.000 UTC
Who will win the 2020 League of Legends World Championship?,77875.079364,2020-10-01 00:00:00.000 UTC
Which party will win Georgia in the 2020 presidential election?,55841.80596400001,2020-10-01 00:00:00.000 UTC
Will BTC break $15k before 2021?,47824.55029600001,2020-10-01 00:00:00.000 UTC
How many confirmed Coronavirus cases will there be at EOY in the USA?,39753.45051,2020-10-01 00:00:00.000 UTC
Will Donald Trump tweet announcing that he won the election before November 5th 2020?,39331.231818,2020-10-01 00:00:00.000 UTC
Will 538 outperform The Economist in forecasting the 2020 Presidential Election?,38472.011994,2020-10-01 00:00:00.000 UTC
Will there be a federal charge filed against Hunter Biden before 2021?,32751.981696,2020-10-01 00:00:00.000 UTC
Which party will win North Carolina in the 2020 presidential election?,31991.898794,2020-10-01 00:00:00.000 UTC
Which party will win Arizona in the 2020 Presidential Election?,23992.948586,2020-10-01 00:00:00.000 UTC
Which party will win Pennsylvania in the 2020 presidential election?,22781.064272,2020-10-01 00:00:00.000 UTC
Will Trump win the 2020 U.S. presidential election?,1.7602280092637993e+07,2020-11-01 00:00:00.000 UTC
"Will Donald Trump be inaugurated for his second term as President of the USA on Inauguration Day, January 20th, 2021?",1.4991312801494e+07,2020-11-01 00:00:00.000 UTC
Which party will win Arizona in the 2020 Presidential Election?,2.9844610758720003e+06,2020-11-01 00:00:00.000 UTC
Which party will win Pennsylvania in the 2020 presidential election?,2.8209716254180004e+06,2020-11-01 00:00:00.000 UTC
Which party will win Georgia in the 2020 presidential election?,2.451258527900001e+06,2020-11-01 00:00:00.000 UTC
Others,1.801096223171e+06,2020-11-01 00:00:00.000 UTC
"Will Trump win any of Pennsylvania, Arizona or Georgia?",1.686646230988e+06,2020-11-01 00:00:00.000 UTC
Will $BTC break $20k before 2021?,1.3574095608920006e+06,2020-11-01 00:00:00.000 UTC
"Will the Ethereum 2.0 Genesis Event happen successfully on December 1st, 2020?",1.1130017942419997e+06,2020-11-01 00:00:00.000 UTC
Will $BTC break $20k before Thanksgiving?,914720.3606660006,2020-11-01 00:00:00.000 UTC
"Will Donald Trump formally concede the 2020 US Election before December 1st, 2020?",902772.774334,2020-11-01 00:00:00.000 UTC
Will the Associated Press publish a tweet calling the 2020 US presidential election before November 6?,522864.3954099999,2020-11-01 00:00:00.000 UTC
Which party will win North Carolina in the 2020 presidential election?,457689.2822,2020-11-01 00:00:00.000 UTC
Will BTC break $15k before 2021?,397869.06764400005,2020-11-01 00:00:00.000 UTC
Which party will win Florida in the 2020 presidential election?,309845.309612,2020-11-01 00:00:00.000 UTC
Which party will win Texas in the 2020 presidential election?,294208.2074660001,2020-11-01 00:00:00.000 UTC
Will LaMelo Ball be the first pick in the 2020 NBA draft?,287877.56523,2020-11-01 00:00:00.000 UTC
Will the Seahawks or the Rams win their week 10 NFL matchup?,280189.15278999996,2020-11-01 00:00:00.000 UTC
"Will Sushiswap have more TVL than Uniswap at any time before November 24th, according to DefiPulse?",278780.12161000003,2020-11-01 00:00:00.000 UTC
Will Donald Trump tweet announcing that he won the election before November 5th 2020?,215649.08455800012,2020-11-01 00:00:00.000 UTC
"Will Donald Trump be inaugurated for his second term as President of the USA on Inauguration Day, January 20th, 2021?",2.9765176409458e+07,2020-12-01 00:00:00.000 UTC
"Will Joe Biden be inaugurated as President of the USA on January 20th, 2021?",2.9735117528700004e+06,2020-12-01 00:00:00.000 UTC
Will $BTC break $20k before 2021?,1.5777947946759998e+06,2020-12-01 00:00:00.000 UTC
Will $BTC break $25k before March 1st?,1.13047049499e+06,2020-12-01 00:00:00.000 UTC
"Will Trump win any of Pennsylvania, Arizona or Georgia?",1.0659998180759996e+06,2020-12-01 00:00:00.000 UTC
Others,696834.8569430001,2020-12-01 00:00:00.000 UTC
Will any Electoral College Certificates of Vote be formally challenged in Congress?,396289.4239000001,2020-12-01 00:00:00.000 UTC
Will Coinbase reach #1 in the Finance category on the US iOS App Store before 2021?,301357.00123199995,2020-12-01 00:00:00.000 UTC
Will Donald Trump pardon Julian Assange?,297513.5021180002,2020-12-01 00:00:00.000 UTC
Will Trump Pardon Himself in His First Term?,230148.466876,2020-12-01 00:00:00.000 UTC
Will Coinbase delist Ripple (XRP) before they begin publicly trading?,228688.71776800003,2020-12-01 00:00:00.000 UTC
Will indoor dining be prohibited in NYC at any point before 2021?,226794.50328600002,2020-12-01 00:00:00.000 UTC
What will the average sale price of a PS5 be on StockX on Christmas Day?,226691.665608,2020-12-01 00:00:00.000 UTC
Will Pfizer's COVID-19 vaccine be the first to receive FDA approval or Emergency Use Authorization (EUA)?,182749.75255400004,2020-12-01 00:00:00.000 UTC
What will Airbnb's market cap be at close on its 1st day publicly trading?,175852.58866199997,2020-12-01 00:00:00.000 UTC
Will Donald Trump attend Joe Biden’s inauguration ceremony in person?,130521.797316,2020-12-01 00:00:00.000 UTC
Will there be a federal charge filed against Hunter Biden before 2021?,125006.471924,2020-12-01 00:00:00.000 UTC
What will Coinbase’s market cap be 1 week after it starts publicly trading?,121400.93648399999,2020-12-01 00:00:00.000 UTC
Will Playboi Carti release a new album before 2021?,113142.26897,2020-12-01 00:00:00.000 UTC
Will Uniswap v3 launch before 2021?,92414.24410199998,2020-12-01 00:00:00.000 UTC
"Will Donald Trump be inaugurated for his second term as President of the USA on Inauguration Day, January 20th, 2021?",1.5658664988920007e+07,2021-01-01 00:00:00.000 UTC
"Will Joe Biden be inaugurated as President of the USA on January 20th, 2021?",1.4191694862003999e+07,2021-01-01 00:00:00.000 UTC
"Will Joe Biden be President of the USA on March 1, 2021?",1.011909833172e+07,2021-01-01 00:00:00.000 UTC
"Will Donald Trump be President of the USA on March 31, 2021?",6.907773250426001e+06,2021-01-01 00:00:00.000 UTC
Others,5.841647048923003e+06,2021-01-01 00:00:00.000 UTC
"Will Joe Biden be officially inaugurated as President in-person outside the US capitol on January 20th, 2021?",1.749708416588e+06,2021-01-01 00:00:00.000 UTC
"Will ETH be above $1,500 on January 27th?",1.5183924743700002e+06,2021-01-01 00:00:00.000 UTC
"Will Tesla announce a Bitcoin purchase before March 1, 2021?",1.4175957868220003e+06,2021-01-01 00:00:00.000 UTC
Will Trump complete his first term?,1.384622036626e+06,2021-01-01 00:00:00.000 UTC
"How many subscribers will /r/wallstreetbets have on February 7, 2021?",1.1654780321520013e+06,2021-01-01 00:00:00.000 UTC
"Will 100 million people have received a dose of an approved COVID-19 vaccine in the US by April 1, 2021?",927330.189186,2021-01-01 00:00:00.000 UTC
"Will $BTC break $50k before April 1st, 2021?",917969.9721280001,2021-01-01 00:00:00.000 UTC
How many tweets will @DonaldJTrumpJr post from Jan 18th to 25th?,789087.4237300009,2021-01-01 00:00:00.000 UTC
Will Trump Pardon Himself in His First Term?,759595.9848680003,2021-01-01 00:00:00.000 UTC
"Will the Senate convict Donald Trump on impeachment by April 29, 2021?",731205.508612,2021-01-01 00:00:00.000 UTC
"$2000 stimulus checks by February 28, 2021?",635414.39364,2021-01-01 00:00:00.000 UTC
Which party will control the senate?,517032.61231600004,2021-01-01 00:00:00.000 UTC
"Will ETH be above $1500 on February 3rd, 2021?",492527.7729639999,2021-01-01 00:00:00.000 UTC
Will Donald Trump be impeached again before the end of his term?,489949.65676999994,2021-01-01 00:00:00.000 UTC
"How many more tweets will be on the @ElonMusk account on February 3, 2021?",405443.01127499976,2021-01-01 00:00:00.000 UTC
"Will Donald Trump be President of the USA on March 31, 2021?",5.016830506429998e+06,2021-02-01 00:00:00.000 UTC
Others,3.802133946051998e+06,2021-02-01 00:00:00.000 UTC
"Will 100 million people have received a dose of an approved COVID-19 vaccine in the US by April 1, 2021?",2.5289951955440007e+06,2021-02-01 00:00:00.000 UTC
"Will ETH be above $2000 on March 1st, 2021?",1.4931195465559997e+06,2021-02-01 00:00:00.000 UTC
"Will $BTC break $50k before April 1st, 2021?",1.4100309841460001e+06,2021-02-01 00:00:00.000 UTC
"How many subscribers will /r/wallstreetbets have on February 7, 2021?",1.2481320997080028e+06,2021-02-01 00:00:00.000 UTC
"Will the US have fewer than 50,000 new COVID-19 cases on any day before March 15, 2021?",1.2384006736079997e+06,2021-02-01 00:00:00.000 UTC
"Will Tesla announce a Bitcoin purchase before March 1, 2021?",1.1400796834260002e+06,2021-02-01 00:00:00.000 UTC
"Will Joe Biden be President of the USA on March 1, 2021?",958503.362686,2021-02-01 00:00:00.000 UTC
"Will ETH be above $1500 on February 3rd, 2021?",879303.192562,2021-02-01 00:00:00.000 UTC
"Will Bitcoin ($BTC) be above $55k on February 24, 2021?",874262.5157579994,2021-02-01 00:00:00.000 UTC
How many Senators will vote to convict Donald Trump on incitement by March 1?,861299.4360099992,2021-02-01 00:00:00.000 UTC
"How many more tweets will be on the @SouljaBoy account on February 25, 2021?",463506.38861399924,2021-02-01 00:00:00.000 UTC
Will there be enough signatures for a vote on the recall of Gov. Newsom by March 17?,391657.26731400023,2021-02-01 00:00:00.000 UTC
"Who will the world's richest person be on February 27, 2021?",379543.2370499999,2021-02-01 00:00:00.000 UTC
"$2000 stimulus checks by February 28, 2021?",341045.11776800005,2021-02-01 00:00:00.000 UTC
