market_id,category,range,count,share
516883,crypto,0-10,0,0.0
516883,crypto,10-50,0,0.0
516883,crypto,50-100,0,0.0
516883,crypto,100-500,0,0.0
516883,crypto,500-1000,0,0.0
516883,crypto,1000+,0,0.0
516925,politics,0-10,396,0.573082489146165
516925,politics,10-50,266,0.3849493487698987
516925,politics,50-100,0,0.0
516925,politics,100-500,29,0.041968162083936326
516925,politics,500-1000,0,0.0
516925,politics,1000+,0,0.0
517817,politics,0-10,1,0.029411764705882353
517817,politics,10-50,2,0.058823529411764705
517817,politics,50-100,2,0.058823529411764705
517817,politics,100-500,29,0.8529411764705882
517817,politics,500-1000,0,0.0
517817,politics,1000+,0,0.0
527869,crypto,0-10,273,0.8950819672131147
527869,crypto,10-50,31,0.10163934426229508
527869,crypto,50-100,0,0.0
527869,crypto,100-500,0,0.0
527869,crypto,500-1000,0,0.0
527869,crypto,1000+,1,0.003278688524590164
540819,politics,0-10,0,0.0
540819,politics,10-50,28,0.5283018867924528
540819,politics,50-100,0,0.0
540819,politics,100-500,25,0.4716981132075472
540819,politics,500-1000,0,0.0
540819,politics,1000+,0,0.0
549618,crypto,0-10,0,0.0
549618,crypto,10-50,0,0.0
549618,crypto,50-100,0,0.0
549618,crypto,100-500,0,0.0
549618,crypto,500-1000,0,0.0
549618,crypto,1000+,0,0.0
553374,politics,0-10,49,0.6049382716049383
553374,politics,10-50,32,0.3950617283950617
553374,politics,50-100,0,0.0
553374,politics,100-500,0,0.0
553374,politics,500-1000,0,0.0
553374,politics,1000+,0,0.0
556063,crypto,0-10,0,0.0
556063,crypto,10-50,0,0.0
556063,crypto,50-100,0,0.0
556063,crypto,100-500,0,0.0
556063,crypto,500-1000,0,0.0
556063,crypto,1000+,0,0.0
558839,crypto,0-10,29,0.5
558839,crypto,10-50,0,0.0
558839,crypto,50-100,0,0.0
558839,crypto,100-500,29,0.5
558839,crypto,500-1000,0,0.0
558839,crypto,1000+,0,0.0
559662,politics,0-10,30,0.4918032786885246
559662,politics,10-50,0,0.0
559662,politics,50-100,29,0.47540983606557374
559662,politics,100-500,2,0.03278688524590164
559662,politics,500-1000,0,0.0
559662,politics,1000+,0,0.0
559667,politics,0-10,2,0.03389830508474576
559667,politics,10-50,57,0.9661016949152542
559667,politics,50-100,0,0.0
559667,politics,100-500,0,0.0
559667,politics,500-1000,0,0.0
559667,politics,1000+,0,0.0
559673,politics,0-10,0,0.0
559673,politics,10-50,0,0.0
559673,politics,50-100,57,0.6951219512195121
559673,politics,100-500,25,0.3048780487804878
559673,politics,500-1000,0,0.0
559673,politics,1000+,0,0.0
561015,crypto,0-10,0,0.0
561015,crypto,10-50,24,1.0
561015,crypto,50-100,0,0.0
561015,crypto,100-500,0,0.0
561015,crypto,500-1000,0,0.0
561015,crypto,1000+,0,0.0
